tiempo,u (entrada),v (salida)
17.4254,79,280.63
17.4853,78,281.03
17.6052,78,280.32
17.6052,77,280.52
17.6656,76,279.16
17.7210,75,277.38
17.7851,74,275.81
17.8454,73,274.19
17.9052,72,273.34
17.9655,71,271.78
18.0248,70,270.51
18.0848,70,268.81
18.1454,69,267.89
18.2045,69,266.26
18.2649,69,264.82
18.3253,69,263.2
18.3820,69,262.0
18.4452,70,259.53
18.5048,70,258.18
18.5648,71,256.87
18.6252,72,256.65
18.6854,73,255.63
18.7464,74,255.32
18.8691,75,254.35
18.8691,76,253.48
18.9229,77,253.66
18.9905,78,252.88
19.0496,78,250.78
19.1102,79,250.1
19.2257,80,248.33
19.2257,80,247.0
19.2898,80,245.24
19.4102,80,242.86
19.4123,80,239.94
19.4700,79,236.54
19.5303,79,233.42
19.5904,78,229.97
19.6504,77,225.75
19.7101,76,221.55
19.7705,76,218.43
19.8301,75,214.39
19.8904,74,210.23
19.9504,73,205.98
20.0034,72,201.4
