tiempo,u (entrada),v (salida)
0.0378,75,32.42
0.1000,75,60.3
0.1527,76,84.7
0.2805,77,106.25
0.2814,78,124.51
0.3355,79,140.4
0.3999,79,153.89
0.4600,80,166.69
0.5204,80,177.61
0.5805,80,187.8
0.6401,80,196.32
0.6996,80,202.17
0.7603,79,208.03
0.8765,78,213.91
0.8765,78,217.69
0.9363,77,221.72
0.9992,76,225.16
1.1179,75,228.67
1.1179,74,230.35
1.1794,73,233.48
1.2404,72,236.01
1.3001,71,238.71
1.4162,70,241.21
1.4162,70,243.07
1.4857,69,245.88
1.5454,69,247.77
1.6057,69,250.5
1.6655,69,252.08
1.7257,69,252.31
1.7856,70,253.09
1.8455,70,254.02
1.9058,71,253.67
1.9654,72,254.29
2.0250,73,254.73
2.0850,74,255.23
2.1449,75,256.14
2.2052,76,256.13
2.2654,77,256.11
2.3248,78,255.04
2.3855,78,254.45
2.4454,79,254.16
2.5054,80,254.85
2.5656,80,254.16
2.6248,80,254.26
2.6855,80,254.82
2.7454,80,255.54
2.8056,79,255.83
2.8653,79,256.2
2.9246,78,256.53
3.0453,77,256.7
3.0453,76,256.39
3.1002,75,256.46
3.1654,75,256.29
3.2254,74,257.19
3.2854,73,256.82
3.3454,72,257.78
3.4055,71,258.74
3.4652,70,258.54
3.5303,70,259.18
3.5892,69,259.16
3.6502,69,259.61
3.7100,69,259.07
3.7702,69,259.06
3.8313,70,259.64
3.8908,70,260.27
3.9500,71,259.89
4.0102,71,260.84
4.0700,72,260.98
4.1302,73,260.63
4.1913,74,261.37
4.2500,75,260.74
4.3102,76,261.48
4.3702,77,261.19
4.4276,78,260.58
4.4905,79,259.81
4.5502,79,258.42
4.6101,80,258.37
4.6701,80,257.97
4.7309,80,257.86
4.7901,80,257.52
4.8489,80,257.58
4.9101,79,256.69
4.9713,79,256.02
5.0286,78,256.37
5.0892,77,256.09
5.1498,76,256.2
5.2100,75,256.53
5.2703,74,256.23
5.3307,73,255.5
5.3902,72,256.03
5.4513,71,257.67
5.5090,71,257.24
5.5752,70,256.62
5.6346,69,256.43
5.6953,69,257.91
5.7554,69,257.68
5.8155,69,258.78
5.8750,69,257.86
5.9354,70,258.94
5.9955,70,258.94
6.0554,71,258.83
6.1147,72,258.85
6.1751,73,258.4
6.2352,74,258.82
6.2953,75,258.84
6.3551,76,258.75
6.4739,77,259.24
6.4739,77,259.1
6.5324,78,259.44
6.5946,79,259.04
6.6554,79,258.56
6.7149,80,258.61
6.7754,80,256.78
6.8352,80,255.75
6.8955,80,255.9
6.9552,79,255.91
7.0150,79,255.33
7.0748,78,254.12
7.1352,78,254.34
7.1921,77,254.3
7.2546,76,255.09
7.3142,75,255.43
7.3745,74,255.5
7.4348,73,254.26
7.4947,72,255.17
7.5544,71,255.27
7.6200,70,256.06
7.6797,70,256.52
7.7393,69,256.93
7.8001,69,257.53
7.8594,69,258.64
7.9211,69,259.03
7.9810,69,259.97
8.0397,70,259.74
8.0991,70,259.65
8.1594,71,259.46
8.2193,72,260.11
8.2797,73,259.63
8.3404,74,259.55
8.4004,75,259.02
8.4599,76,258.08
8.5197,77,258.42
8.5794,78,258.02
8.6319,78,257.55
8.7004,79,257.36
8.7600,80,257.91
8.8196,80,257.45
8.8800,80,256.81
8.9399,80,255.19
9.0000,80,254.7
9.1104,79,254.38
9.1208,79,253.4
9.1740,78,252.53
9.2393,77,252.0
9.3600,76,251.88
