tiempo,u (entrada),v (salida)
9.3600,75,251.54
9.4133,74,251.59
9.4791,73,251.88
9.5394,72,251.66
9.5999,72,252.05
9.6621,71,252.63
9.7257,70,253.61
9.7849,70,254.25
9.8450,69,255.39
9.9052,69,256.52
9.9653,69,256.93
10.0253,69,257.29
10.0854,70,258.31
10.1455,70,260.15
10.2049,71,260.37
10.2650,71,261.15
10.3245,72,262.31
10.3846,73,263.68
10.4452,74,264.54
10.5051,75,264.71
10.5650,76,264.16
10.6245,77,263.43
10.6848,78,264.09
10.7452,79,265.13
10.8045,79,265.0
10.8651,80,264.53
10.9255,80,264.23
10.9851,80,263.85
11.0453,80,263.64
11.1045,80,263.8
11.1649,79,263.7
11.2246,79,264.68
11.2850,78,264.72
11.3448,77,263.69
11.4043,76,265.14
11.4652,75,266.18
11.5246,74,266.39
11.5844,73,265.52
11.7092,72,264.52
11.7092,71,263.76
11.7692,70,264.49
11.8298,70,264.08
11.8899,69,264.42
11.9498,69,265.08
12.0103,69,264.6
12.0623,69,265.82
12.1299,69,266.66
12.1896,70,266.82
12.2500,70,266.96
12.3692,71,267.08
12.3692,72,267.07
12.4281,73,268.47
12.4878,74,268.89
12.5499,75,268.43
12.6073,76,267.44
12.6700,77,267.39
12.7294,77,267.81
12.7894,78,268.19
12.8490,79,268.4
12.9055,79,268.94
12.9691,80,268.01
13.0297,80,269.42
13.0899,80,269.48
13.2089,80,268.61
13.2089,79,267.71
13.2699,79,268.22
13.3287,78,268.66
13.3896,78,267.76
13.4496,77,269.32
13.5698,76,269.16
13.5698,75,269.49
13.6299,74,269.2
13.6895,73,270.23
13.7545,72,269.74
13.8149,71,271.41
13.8748,70,272.54
13.9941,70,272.94
13.9941,69,273.19
14.0465,69,274.1
14.1148,69,274.8
14.1747,69,275.64
14.2350,69,275.33
14.2950,70,277.05
14.3545,71,277.99
14.4148,71,279.75
14.4747,72,280.84
14.5349,73,281.09
14.6546,74,281.9
14.6554,75,281.21
14.7129,76,281.65
14.7744,77,280.4
14.8349,78,280.59
14.8947,79,281.46
14.9545,79,281.29
15.0149,80,280.08
15.0748,80,279.48
15.1348,80,279.66
15.2510,80,280.41
15.2510,80,278.95
15.3119,79,278.49
15.3748,79,278.08
15.4350,78,277.83
15.4942,77,277.62
15.5545,76,277.08
15.6150,75,276.36
15.6748,74,276.08
15.7346,73,274.9
15.7991,72,275.15
15.8592,71,273.6
15.9195,71,273.53
15.9794,70,271.94
16.0389,70,271.83
16.0994,69,270.91
16.1595,69,272.33
16.2202,69,271.0
16.2793,69,270.41
16.3394,70,270.37
16.4603,70,270.44
16.4613,71,269.68
16.5794,72,270.43
16.5794,72,270.96
16.6377,73,271.32
16.6992,74,270.34
16.7593,75,270.65
16.8194,76,271.52
16.8793,77,270.87
16.9402,78,271.59
16.9998,79,272.58
17.0598,79,272.39
17.1192,80,270.7
17.1793,80,270.15
17.2403,80,269.66
17.2992,80,268.53
17.3598,80,269.05
17.4192,79,269.99
17.4794,78,270.46
17.5392,78,271.7
17.5992,77,272.91
17.6588,76,273.39
17.7194,75,273.11
17.7800,74,274.5
17.8448,73,275.5
17.9045,72,276.73
17.9638,71,277.7
18.0235,70,278.09
18.0839,70,279.25
18.1438,69,280.75
18.2041,69,282.07
18.3163,69,282.3
18.3163,69,282.62
18.3769,69,283.37
18.4988,70,284.73
18.4988,70,284.65
18.5645,71,284.92
18.6799,72,285.52
18.6799,73,285.69
18.7442,74,285.26
18.8043,75,283.82
18.8645,76,282.9
18.9247,77,282.44
18.9841,78,282.39
19.0446,78,281.88
19.1039,79,282.59
19.1640,79,283.11
19.2255,80,281.81
19.2838,80,282.53
19.3443,80,281.18
19.4028,80,280.45
19.4644,79,280.99
19.5245,79,280.64
19.5846,78,280.44
19.6445,77,280.39
19.7044,77,280.93
19.7640,76,280.12
19.8245,75,279.4
19.9473,74,278.88
19.9473,73,278.78
20.0100,72,277.4
