tiempo,u (entrada),v (salida)
0.0396,75,25.15
0.1009,75,45.87
0.1613,76,64.75
0.2207,77,81.36
0.3352,78,96.03
0.3352,79,108.76
0.4016,79,119.36
0.4609,80,129.86
0.5207,80,137.68
0.6395,80,145.15
0.6395,80,151.15
0.6980,80,156.55
0.8199,79,161.07
0.8211,78,164.71
0.8811,78,167.33
0.9410,77,170.23
1.0006,76,172.32
1.0613,75,173.69
1.1212,74,175.26
1.1806,73,176.75
1.2413,72,177.72
1.3613,71,178.46
1.3623,70,179.58
1.4210,70,180.92
1.4811,69,182.46
1.5413,69,183.93
1.6016,69,186.05
1.6612,69,188.63
1.7207,69,191.26
1.7809,70,193.81
1.8408,70,197.71
1.9577,71,200.68
1.9577,72,204.83
2.0217,73,209.07
2.0864,74,213.88
2.1458,75,217.53
2.2062,76,221.11
2.2654,77,225.09
2.3846,78,228.6
2.3846,78,231.94
2.4432,79,234.18
2.5059,80,236.74
2.5663,80,239.24
2.6254,80,240.97
2.6863,80,241.68
2.7454,80,243.95
2.8053,79,245.01
2.8655,79,247.01
2.9255,78,248.3
2.9855,77,249.91
3.0463,76,250.03
3.1052,75,250.5
3.1662,75,250.68
3.2860,74,250.13
3.2860,73,249.88
3.3432,72,249.89
3.4055,71,250.37
3.4654,70,250.33
3.5254,70,250.17
3.5859,69,249.92
3.6456,69,249.58
3.7053,69,249.86
3.7655,69,249.76
3.8262,69,250.49
3.8851,70,250.67
3.9456,71,250.47
4.0099,71,250.54
4.0702,72,250.59
4.1304,73,251.69
4.1906,74,252.67
4.2513,75,253.65
4.3111,76,254.75
4.3707,77,255.48
4.4308,78,256.48
4.5456,79,258.3
4.5456,79,259.09
4.6025,80,259.31
4.6706,80,260.33
4.7303,80,260.18
4.7910,80,260.74
4.8509,80,260.89
4.9099,79,261.14
4.9700,79,261.59
5.0303,78,262.58
5.0908,77,263.57
5.1508,76,263.74
5.2707,75,264.47
5.2707,74,264.42
5.3302,73,264.84
5.3910,72,264.62
5.4502,71,265.72
5.5659,71,265.99
5.5659,70,266.7
5.6308,69,266.97
5.6907,69,267.79
5.7514,69,267.58
5.8103,69,268.45
5.8705,69,269.22
5.9307,70,270.84
5.9907,70,271.56
6.0554,71,271.85
6.1759,72,273.16
6.1767,73,273.49
6.2358,74,274.02
6.2954,75,275.08
6.3554,76,275.89
6.4154,77,276.25
6.4751,77,276.58
6.5355,78,277.45
6.5955,79,276.81
6.6554,79,276.36
6.7146,80,276.08
6.7755,80,276.07
6.8932,80,275.6
6.8932,80,275.41
6.9540,79,275.36
7.0154,79,275.79
7.0754,78,274.99
7.1952,78,275.58
7.1958,77,277.51
7.2517,76,277.45
7.3150,75,278.57
7.3765,74,280.38
7.4352,73,280.69
7.4962,72,280.14
7.5554,71,281.41
7.6118,70,280.9
7.6754,70,280.79
7.7908,69,280.7
7.7908,69,280.97
7.9105,69,281.44
7.9105,69,281.86
7.9699,69,281.64
8.0350,70,282.27
8.1006,70,283.18
8.1601,71,282.34
8.2207,72,283.35
8.2808,73,283.31
8.3408,74,283.86
8.4007,75,283.88
8.4609,76,284.36
8.5205,77,283.73
8.6317,78,283.76
8.6317,78,284.38
8.7000,79,282.81
8.7608,80,282.6
8.8201,80,281.35
8.8806,80,280.25
8.9398,80,280.58
9.0003,80,279.8
9.0603,79,277.6
9.1203,79,276.82
9.1805,78,277.19
9.2402,77,277.64
9.2999,76,276.98
9.3599,75,274.87
9.4204,74,273.47
9.4800,73,273.77
9.5403,72,271.68
9.6008,72,270.9
9.6604,71,269.03
9.7199,70,266.09
9.7775,70,262.68
9.8406,69,258.49
9.8994,69,253.26
9.9606,69,247.36
10.0204,69,241.09
10.0802,70,234.51
10.1446,70,227.52
10.2054,71,221.12
10.2603,71,214.06
10.3251,72,207.59
10.3853,73,201.53
10.4453,74,195.95
10.5649,75,190.79
10.5669,76,186.7
10.6853,77,183.22
10.6864,78,180.02
10.7439,79,176.85
10.8052,79,174.52
10.8650,80,172.11
10.9254,80,169.75
10.9849,80,167.07
11.0454,80,164.72
11.1053,80,162.52
11.1658,79,159.87
11.2253,79,156.84
11.2852,78,153.68
11.3452,77,149.73
11.4046,76,145.3
11.4654,75,140.45
11.5249,74,134.76
11.5852,73,128.8
11.6449,72,122.95
11.7054,71,116.38
11.7653,71,110.58
11.8252,70,104.52
11.8853,69,98.94
11.9449,69,93.43
12.0025,69,88.57
12.0652,69,84.62
12.1250,69,81.15
12.1904,70,78.31
12.2501,70,76.51
12.3101,71,75.51
12.3705,72,75.1
12.4303,73,75.32
12.4903,74,76.46
12.5502,75,78.17
12.6103,76,80.38
12.6701,77,82.8
12.7306,77,85.76
12.7903,78,88.72
12.8501,79,91.57
12.9104,79,94.68
12.9703,80,97.18
13.0303,80,98.92
13.0904,80,100.22
13.1502,80,101.25
13.2104,79,101.58
13.2703,79,101.16
13.3259,78,100.08
13.3901,78,98.78
13.4503,77,96.34
13.5643,76,93.36
