tiempo,u (entrada),v (salida)
13.5643,75,90.39
13.6294,74,86.93
13.6901,73,83.07
13.7505,72,78.83
13.8101,71,74.51
13.8703,70,71.16
13.9277,70,67.97
13.9902,69,65.39
14.0502,69,63.0
14.1102,69,60.53
14.1705,69,58.82
14.2351,69,57.08
14.3458,70,55.9
14.3558,71,54.5
14.4112,71,53.74
14.5310,72,52.71
14.5310,73,52.51
14.5916,74,52.57
14.6550,75,53.68
14.7146,76,55.59
14.7751,77,57.64
14.8344,78,60.38
14.8952,79,63.27
14.9552,79,66.18
15.0148,80,69.09
15.1332,80,72.02
15.1332,80,74.48
15.1920,80,76.54
15.2550,80,78.35
15.3146,79,79.49
15.3755,79,80.13
15.4352,78,80.35
15.4922,77,80.19
15.5550,76,79.58
15.6157,75,78.22
15.6749,74,76.67
15.7348,73,75.3
15.7952,72,73.97
15.8550,72,71.98
15.9144,71,69.99
15.9746,70,68.46
16.0350,70,67.23
16.0947,69,66.15
16.1542,69,65.31
16.2144,69,65.16
16.2797,69,65.61
16.3409,70,66.71
16.4006,70,68.27
16.5204,71,70.59
16.5204,72,73.22
16.5799,72,76.6
16.6404,73,80.64
16.7003,74,85.38
16.7603,75,90.62
16.8202,76,96.07
16.8797,77,101.81
16.9955,78,107.0
16.9955,79,112.4
17.0590,79,117.05
17.1711,80,121.39
17.1813,80,124.87
17.2325,80,128.41
17.3001,80,130.82
17.3599,80,133.08
17.4202,79,134.95
17.4794,78,136.01
17.5992,78,136.48
17.5992,77,136.3
17.6602,76,135.68
17.7135,75,133.96
17.7789,74,131.5
17.8393,73,128.62
17.8997,72,125.02
17.9600,71,120.91
18.0202,70,116.34
18.0791,70,111.49
18.1400,69,106.97
18.1999,69,102.51
18.2600,69,98.69
18.3832,69,95.32
18.3832,69,92.0
18.4418,70,89.53
18.5050,70,87.82
18.5652,71,86.91
18.6248,72,86.56
18.6853,73,86.85
18.7453,74,88.28
18.8053,75,89.54
18.8649,76,91.12
18.9245,77,93.22
18.9848,78,95.07
19.0440,78,97.41
19.1052,79,99.12
19.1652,79,100.52
19.2249,80,101.51
19.2852,80,102.28
19.3456,80,102.48
19.4041,80,101.6
19.4655,79,100.24
19.5255,79,98.57
19.5852,78,96.03
19.6454,77,92.86
19.6990,77,89.59
19.7651,76,86.23
19.8252,75,81.98
19.8840,74,77.63
19.9444,73,74.04
20.0041,72,70.63
