tiempo,u (entrada),v (salida)
0.0360,75,30.7
0.1005,75,57.08
0.1608,76,80.05
0.2204,77,100.11
0.2808,78,117.32
0.3408,79,132.16
0.4009,79,144.02
0.4604,80,156.09
0.5202,80,165.89
0.5806,80,174.41
0.6400,80,181.31
0.7007,80,188.34
0.7604,79,192.78
0.8215,78,197.39
0.9362,78,200.64
0.9362,77,203.62
1.0005,76,204.96
1.0607,75,206.14
1.1215,74,206.24
1.1793,73,206.56
1.2416,72,205.68
1.3001,71,203.95
1.3607,70,202.43
1.4216,70,200.85
1.4786,69,198.99
1.5408,69,197.0
1.6001,69,195.35
1.6605,69,194.37
1.7210,69,193.86
1.7807,70,193.4
1.8403,70,193.71
1.9004,71,193.98
2.0192,72,194.33
2.0192,73,195.47
2.0843,74,197.29
2.1459,75,198.9
2.2056,76,200.91
2.2659,77,203.15
2.3263,78,205.37
2.3859,78,207.55
2.4458,79,209.02
2.5059,80,211.95
2.5662,80,213.36
2.6259,80,214.73
2.6859,80,215.58
2.7456,80,217.39
2.8059,79,218.29
2.8657,79,218.96
2.9257,78,219.79
3.0370,77,219.46
3.0471,76,219.05
3.1021,75,218.46
3.2269,75,217.94
3.2279,74,216.3
3.2848,73,215.44
3.3457,72,213.86
3.4060,71,212.71
3.4661,70,210.74
3.5251,70,209.01
3.5856,69,207.84
3.6457,69,206.92
3.7000,69,206.34
3.7657,69,205.95
3.8248,69,205.6
3.8858,70,205.88
3.9462,71,207.07
4.0105,71,208.0
4.0708,72,209.88
4.1277,73,212.48
4.1906,74,214.07
4.2514,75,216.99
4.3114,76,220.17
4.3716,77,222.85
4.4282,78,226.15
4.4907,79,228.84
4.5507,79,231.09
4.6106,80,232.96
4.6706,80,234.25
4.7302,80,235.16
4.7906,80,236.9
4.9103,80,237.74
4.9123,79,238.59
4.9665,79,238.99
5.0255,78,238.29
5.0906,77,237.43
5.2106,76,236.56
5.2115,75,234.61
5.2696,74,232.55
5.3290,73,230.02
5.3906,72,227.31
5.4509,71,224.58
5.5105,71,221.1
5.5706,70,217.92
5.6306,69,214.41
5.6907,69,210.84
5.8103,69,207.92
5.8103,69,205.7
5.8658,69,203.5
5.9305,70,201.68
5.9903,70,200.54
6.0555,71,200.01
6.1156,72,200.01
6.1750,73,200.48
6.2357,74,201.36
6.2952,75,202.38
6.3558,76,204.21
6.4149,77,206.89
6.4755,77,208.31
6.5358,78,210.15
6.5957,79,212.01
6.6553,79,213.3
6.7157,80,215.15
6.7759,80,216.89
6.8353,80,217.96
6.8960,80,218.9
6.9558,79,219.86
7.0156,79,220.46
7.1356,78,220.64
7.1371,78,220.33
7.1936,77,219.59
7.2557,76,218.7
7.3158,75,218.03
7.3763,74,216.85
7.4352,73,215.58
7.5555,72,214.45
7.5555,71,213.11
7.6156,70,210.98
7.6759,70,209.93
7.7347,69,209.23
7.7954,69,208.26
7.8565,69,207.06
7.9151,69,206.7
7.9760,69,206.5
8.0346,70,207.26
8.1000,70,208.41
8.1605,71,209.42
8.2205,72,211.48
8.2805,73,213.89
8.3406,74,216.25
8.4604,75,218.69
8.4623,76,221.31
8.5172,77,224.33
8.5801,78,226.4
8.6406,78,229.76
8.6974,79,232.25
8.7598,80,234.46
8.8204,80,236.28
8.8804,80,238.36
8.9406,80,239.14
9.0006,80,239.48
9.0612,79,239.66
9.1206,79,240.17
9.1805,78,240.03
9.2405,77,239.91
9.3005,76,238.63
9.3604,75,237.03
9.4214,74,235.03
9.4807,73,232.44
9.5406,72,230.04
9.6008,72,226.98
9.6603,71,223.7
9.7206,70,219.74
9.8354,70,215.78
9.8354,69,212.05
9.8975,69,208.63
9.9610,69,205.74
10.0781,69,202.6
10.0781,70,200.3
10.1444,70,199.09
10.2044,71,197.67
10.2651,71,196.77
10.3242,72,196.33
10.3853,73,196.29
10.4455,74,197.43
10.5055,75,198.32
10.5652,76,199.1
10.6252,77,200.85
10.6856,78,202.63
10.7463,79,204.67
10.8052,79,206.35
10.8650,80,208.43
10.9255,80,210.25
10.9851,80,211.52
11.0454,80,212.63
11.1046,80,213.61
11.1646,79,214.01
11.2253,79,214.13
11.2845,78,214.11
11.3453,77,213.75
11.4049,76,213.42
11.4652,75,213.37
11.5247,74,212.86
11.5852,73,211.82
11.6448,72,211.02
11.7049,71,209.14
11.7653,71,208.06
11.8772,70,207.35
11.8772,69,206.37
11.9453,69,205.51
12.0044,69,205.33
12.0652,69,205.29
12.1235,69,205.49
12.1906,70,206.84
12.2498,70,208.86
12.3093,71,210.17
12.3699,72,212.61
12.4300,73,215.59
12.4905,74,218.23
12.5505,75,221.13
12.6103,76,224.88
12.6699,77,228.18
12.7298,77,230.86
12.7900,78,232.75
12.8503,79,235.6
12.9101,79,236.71
12.9695,80,238.03
13.0302,80,239.55
13.0899,80,241.84
13.1506,80,241.97
13.2088,79,242.33
13.2706,79,241.59
13.3305,78,240.81
13.4473,78,239.07
13.4473,77,238.01
13.5058,76,236.01
13.5695,75,233.66
13.6298,74,231.12
13.6906,73,227.35
13.7506,72,222.96
13.8103,71,218.5
13.8702,70,214.33
13.9301,70,209.48
13.9899,69,204.73
14.1071,69,200.41
14.1071,69,196.02
14.1673,69,191.2
14.2352,69,186.83
14.2950,70,182.86
14.3544,71,179.47
14.4155,71,176.48
14.4746,72,173.84
14.5347,73,171.28
14.5942,74,169.83
14.6554,75,168.21
14.7148,76,166.54
14.7749,77,164.83
14.8353,78,163.91
14.8957,79,162.28
14.9552,79,160.6
15.0153,80,158.77
15.0754,80,156.45
15.1347,80,153.93
15.1948,80,150.65
15.2555,80,146.58
15.3153,79,142.29
15.3752,79,137.44
15.4353,78,132.1
15.4951,77,126.81
15.5551,76,121.31
15.6152,75,115.17
15.6752,74,109.39
15.7350,73,103.24
15.7953,72,96.99
15.8551,72,90.53
15.9151,71,85.18
15.9751,70,80.23
16.0352,70,75.98
16.0950,69,71.99
16.1561,69,69.05
16.2152,69,66.23
16.2793,69,63.85
16.3395,70,61.76
16.4007,70,60.84
16.4605,71,60.75
16.5190,72,61.13
16.5796,72,62.52
16.6398,73,64.93
16.6992,74,67.75
16.7592,75,71.31
16.8197,76,75.5
16.8804,77,80.14
16.9404,78,85.76
17.0547,79,92.13
17.0547,79,98.81
17.1148,80,105.4
17.1795,80,111.58
17.2409,80,117.27
17.2995,80,122.28
17.3601,80,126.48
17.4205,79,130.18
17.4795,78,133.1
17.5405,78,135.43
17.5994,77,137.14
17.6595,76,137.48
17.7195,75,137.66
17.8321,74,136.99
17.8321,73,136.17
17.8952,72,134.51
17.9600,71,131.98
18.0195,70,129.87
18.0796,70,127.65
18.1393,69,125.93
18.1995,69,123.94
18.2603,69,122.54
18.3842,69,122.01
18.3842,69,122.01
18.4448,70,122.83
18.5566,70,124.73
18.5566,71,126.4
18.6209,72,129.29
18.6851,73,133.13
18.7970,74,137.23
18.7970,75,141.31
18.8626,76,145.15
18.9246,77,150.42
18.9860,78,155.3
19.0450,78,160.08
19.1053,79,165.0
19.1645,79,169.23
19.2255,80,173.43
19.2852,80,177.25
19.3450,80,181.57
19.4050,80,185.5
19.5219,79,189.31
19.5219,79,192.21
19.5763,78,194.89
19.6451,77,196.9
19.7051,77,198.67
19.7650,76,200.12
19.8253,75,201.87
19.8853,74,202.94
19.9448,73,203.77
20.0037,72,204.97
